task,protocol,seed,fold,d,n_train,n_test,train_acc,test_acc,w_norm,explained_var
imagery_left_right_fist,subject_disjoint,20260917,subj0,512,3224,1674,0.778846,0.627838,9.83632,0.964272
imagery_left_right_fist,subject_disjoint,20260917,subj0,1024,3224,1674,0.850186,0.610514,15.7515,0.9866
imagery_left_right_fist,subject_disjoint,20260917,subj0,2080,3224,1674,0.941687,0.613501,22.5633,1
imagery_left_right_fist,subject_disjoint,20260917,subj1,2,3287,1611,0.501065,0.504035,0.00142615,0.627106
imagery_left_right_fist,subject_disjoint,20260917,subj1,4,3287,1611,0.507454,0.512725,0.0142058,0.662135
imagery_left_right_fist,subject_disjoint,20260917,subj1,8,3287,1611,0.518406,0.511484,0.0554539,0.713714
imagery_left_right_fist,subject_disjoint,20260917,subj1,16,3287,1611,0.527228,0.543141,0.0900973,0.77609
imagery_left_right_fist,subject_disjoint,20260917,subj1,32,3287,1611,0.536355,0.53383,0.170251,0.844748
imagery_left_right_fist,subject_disjoint,20260917,subj1,64,3287,1611,0.557956,0.556797,0.613343,0.901732
imagery_left_right_fist,subject_disjoint,20260917,subj1,128,3287,1611,0.715242,0.622595,5.31079,0.924723
imagery_left_right_fist,subject_disjoint,20260917,subj1,256,3287,1611,0.751749,0.629423,7.26839,0.941204
imagery_left_right_fist,subject_disjoint,20260917,subj1,512,3287,1611,0.797079,0.623215,10.1567,0.962408
imagery_left_right_fist,subject_disjoint,20260917,subj1,1024,3287,1611,0.860663,0.604593,16.3296,0.985807
imagery_left_right_fist,subject_disjoint,20260917,subj1,2080,3287,1611,0.953149,0.597145,22.9662,1
imagery_left_right_fist,subject_disjoint,20260917,subj2,2,3285,1613,0.505327,0.49597,0.00397551,0.641926
imagery_left_right_fist,subject_disjoint,20260917,subj2,4,3285,1613,0.509589,0.508989,0.0133023,0.676698
imagery_left_right_fist,subject_disjoint,20260917,subj2,8,3285,1613,0.519939,0.523249,0.0441138,0.724307
imagery_left_right_fist,subject_disjoint,20260917,subj2,16,3285,1613,0.527854,0.515809,0.0932078,0.785174
imagery_left_right_fist,subject_disjoint,20260917,subj2,32,3285,1613,0.541553,0.533168,0.188705,0.852833
imagery_left_right_fist,subject_disjoint,20260917,subj2,64,3285,1613,0.556164,0.556107,0.549369,0.909393
