dataset,task,model,preproc,protocol,seed,subject,n_test,accuracy
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260918,3,288,0.864583
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260918,4,288,0.666667
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260918,5,288,0.527778
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260918,6,288,0.677083
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260918,7,288,0.552083
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260918,8,288,0.875
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260918,9,288,0.857639
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260916,1,288,0.753472
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260916,2,288,0.572917
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260916,3,288,0.90625
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260916,4,288,0.711806
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260916,5,288,0.559028
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260916,6,288,0.652778
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260916,7,288,0.614583
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260916,8,288,0.920139
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260916,9,288,0.885417
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260917,1,288,0.815972
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260917,2,288,0.555556
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260917,3,288,0.899306
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260917,4,288,0.638889
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260917,5,288,0.559028
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260917,6,288,0.659722
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260917,7,288,0.53125
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260917,8,288,0.923611
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260917,9,288,0.857639
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260918,1,288,0.805556
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260918,2,288,0.565972
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260918,3,288,0.84375
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260918,4,288,0.645833
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260918,5,288,0.541667
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260918,6,288,0.673611
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260918,7,288,0.579861
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260918,8,288,0.913194
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260918,9,288,0.868056
