task,protocol,seed,fold,C,n_train,n_test,train_acc,test_acc,w_norm,n_iter
imagery_left_right_fist,subject_disjoint,20260919,subj2,0.001,3290,1608,0.659271,0.596393,0.258644,15
imagery_left_right_fist,subject_disjoint,20260919,subj2,0.01,3290,1608,0.761702,0.619403,1.67408,33
imagery_left_right_fist,subject_disjoint,20260919,subj2,0.1,3290,1608,0.853799,0.599502,7.00147,103
imagery_left_right_fist,subject_disjoint,20260919,subj2,1.0,3290,1608,0.948936,0.587687,22.7854,220
imagery_left_right_fist,subject_disjoint,20260919,subj2,10.0,3290,1608,0.999392,0.569652,63.236,468
imagery_left_right_fist,subject_disjoint,20260919,subj2,100.0,3290,1608,1,0.571517,128.671,469
imagery_left_right_fist,subject_disjoint,20260919,subj2,1000.0,3290,1608,1,0.572761,224.417,279
imagery_left_right_fist,subject_disjoint,20260920,subj0,0.0001,3243,1655,0.583719,0.555287,0.0287893,10
imagery_left_right_fist,subject_disjoint,20260920,subj0,0.001,3243,1655,0.654949,0.598187,0.24617,10
imagery_left_right_fist,subject_disjoint,20260920,subj0,0.01,3243,1655,0.768424,0.607855,1.63703,23
imagery_left_right_fist,subject_disjoint,20260920,subj0,0.1,3243,1655,0.862165,0.610876,6.99521,119
imagery_left_right_fist,subject_disjoint,20260920,subj0,1.0,3243,1655,0.952205,0.603021,22.9035,231
imagery_left_right_fist,subject_disjoint,20260920,subj0,10.0,3243,1655,0.999692,0.583082,63.0531,419
imagery_left_right_fist,subject_disjoint,20260920,subj0,100.0,3243,1655,1,0.58429,123.912,428
imagery_left_right_fist,subject_disjoint,20260920,subj0,1000.0,3243,1655,1,0.589728,219.991,273
imagery_left_right_fist,subject_disjoint,20260920,subj1,0.0001,3276,1622,0.583028,0.529593,0.0300262,10
imagery_left_right_fist,subject_disjoint,20260920,subj1,0.001,3276,1622,0.644689,0.577682,0.255471,15
imagery_left_right_fist,subject_disjoint,20260920,subj1,0.01,3276,1622,0.763431,0.602959,1.68292,40
imagery_left_right_fist,subject_disjoint,20260920,subj1,0.1,3276,1622,0.869963,0.623921,7.11862,108
imagery_left_right_fist,subject_disjoint,20260920,subj1,1.0,3276,1622,0.95177,0.611591,22.9571,251
imagery_left_right_fist,subject_disjoint,20260920,subj1,10.0,3276,1622,0.999695,0.593095,61.8061,441
imagery_left_right_fist,subject_disjoint,20260920,subj1,100.0,3276,1622,1,0.588779,124.74,427
imagery_left_right_fist,subject_disjoint,20260920,subj1,1000.0,3276,1622,1,0.593095,251.695,184
imagery_left_right_fist,subject_disjoint,20260920,subj2,0.0001,3277,1621,0.581935,0.57372,0.0291008,10
imagery_left_right_fist,subject_disjoint,20260920,subj2,0.001,3277,1621,0.667074,0.59963,0.249295,10
imagery_left_right_fist,subject_disjoint,20260920,subj2,0.01,3277,1621,0.76747,0.637261,1.64512,22
imagery_left_right_fist,subject_disjoint,20260920,subj2,0.1,3277,1621,0.859323,0.637261,6.97018,87
imagery_left_right_fist,subject_disjoint,20260920,subj2,1.0,3277,1621,0.947818,0.619371,22.6704,252
