task,protocol,seed,fold,metric,value,n,note
real_left_right_fist,subject_disjoint,20260916,subj0,mean_abs_cos_w_d_s_train_subjects,0.148393,72,
real_left_right_fist,subject_disjoint,20260916,subj0,mean_abs_cos_w_d_s_test_subjects,0.0896724,72,
real_left_right_fist,subject_disjoint,20260916,subj0,abs_cos_w_d_global,0.471379,72,
real_left_right_fist,subject_disjoint,20260916,subj0,fraction_w_in_span_all_d_s,0.446808,72,
real_left_right_fist,subject_disjoint,20260916,subj0,fraction_w_in_span_train_d_s,0.4092,72,
real_left_right_fist,subject_disjoint,20260916,subj1,mean_abs_cos_w_d_s_train_subjects,0.147341,73,
real_left_right_fist,subject_disjoint,20260916,subj1,mean_abs_cos_w_d_s_test_subjects,0.090735,73,
real_left_right_fist,subject_disjoint,20260916,subj1,abs_cos_w_d_global,0.469672,73,
real_left_right_fist,subject_disjoint,20260916,subj1,fraction_w_in_span_all_d_s,0.457944,73,
real_left_right_fist,subject_disjoint,20260916,subj1,fraction_w_in_span_train_d_s,0.407124,73,
real_left_right_fist,subject_disjoint,20260916,subj2,mean_abs_cos_w_d_s_train_subjects,0.144539,73,
real_left_right_fist,subject_disjoint,20260916,subj2,mean_abs_cos_w_d_s_test_subjects,0.0902172,73,
real_left_right_fist,subject_disjoint,20260916,subj2,abs_cos_w_d_global,0.458849,73,
real_left_right_fist,subject_disjoint,20260916,subj2,fraction_w_in_span_all_d_s,0.430312,73,
real_left_right_fist,subject_disjoint,20260916,subj2,fraction_w_in_span_train_d_s,0.380609,73,
real_left_right_fist,subject_disjoint,20260917,subj0,mean_abs_cos_w_d_s_train_subjects,0.13915,72,
real_left_right_fist,subject_disjoint,20260917,subj0,mean_abs_cos_w_d_s_test_subjects,0.0936033,72,
real_left_right_fist,subject_disjoint,20260917,subj0,abs_cos_w_d_global,0.453964,72,
real_left_right_fist,subject_disjoint,20260917,subj0,fraction_w_in_span_all_d_s,0.446055,72,
real_left_right_fist,subject_disjoint,20260917,subj0,fraction_w_in_span_train_d_s,0.404482,72,
real_left_right_fist,subject_disjoint,20260917,subj1,mean_abs_cos_w_d_s_train_subjects,0.151896,73,
real_left_right_fist,subject_disjoint,20260917,subj1,mean_abs_cos_w_d_s_test_subjects,0.0853396,73,
real_left_right_fist,subject_disjoint,20260917,subj1,abs_cos_w_d_global,0.466631,73,
real_left_right_fist,subject_disjoint,20260917,subj1,fraction_w_in_span_all_d_s,0.452685,73,
real_left_right_fist,subject_disjoint,20260917,subj1,fraction_w_in_span_train_d_s,0.390421,73,
