task,model,k,draw,subject,n_test,accuracy
imagery_left_right_fist,csp_lda,4,1,82,15,0.466667
imagery_left_right_fist,csp_lda,8,1,82,15,0.466667
imagery_left_right_fist,csp_lda,16,1,82,15,0.466667
imagery_left_right_fist,csp_lda,30,1,82,15,0.466667
imagery_left_right_fist,csp_lda,4,2,82,15,0.466667
imagery_left_right_fist,csp_lda,8,2,82,15,0.466667
imagery_left_right_fist,csp_lda,16,2,82,15,0.466667
imagery_left_right_fist,csp_lda,30,2,82,15,0.466667
imagery_left_right_fist,csp_lda,0,0,85,15,0.8
imagery_left_right_fist,csp_lda,4,0,85,15,0.8
imagery_left_right_fist,csp_lda,8,0,85,15,0.866667
imagery_left_right_fist,csp_lda,16,0,85,15,0.866667
imagery_left_right_fist,csp_lda,30,0,85,15,0.866667
imagery_left_right_fist,csp_lda,4,1,85,15,0.8
imagery_left_right_fist,csp_lda,8,1,85,15,0.8
imagery_left_right_fist,csp_lda,16,1,85,15,0.866667
imagery_left_right_fist,csp_lda,30,1,85,15,0.866667
imagery_left_right_fist,csp_lda,4,2,85,15,0.8
imagery_left_right_fist,csp_lda,8,2,85,15,0.866667
imagery_left_right_fist,csp_lda,16,2,85,15,0.866667
imagery_left_right_fist,csp_lda,30,2,85,15,0.866667
imagery_left_right_fist,csp_lda,0,0,87,15,0.533333
imagery_left_right_fist,csp_lda,4,0,87,15,0.533333
imagery_left_right_fist,csp_lda,8,0,87,15,0.533333
imagery_left_right_fist,csp_lda,16,0,87,15,0.466667
imagery_left_right_fist,csp_lda,30,0,87,15,0.466667
imagery_left_right_fist,csp_lda,4,1,87,15,0.533333
imagery_left_right_fist,csp_lda,8,1,87,15,0.533333
imagery_left_right_fist,csp_lda,16,1,87,15,0.466667
imagery_left_right_fist,csp_lda,30,1,87,15,0.466667
imagery_left_right_fist,csp_lda,4,2,87,15,0.533333
imagery_left_right_fist,csp_lda,8,2,87,15,0.533333
imagery_left_right_fist,csp_lda,16,2,87,15,0.533333
imagery_left_right_fist,csp_lda,30,2,87,15,0.466667
imagery_left_right_fist,csp_lda,0,0,89,15,0.533333
imagery_left_right_fist,csp_lda,4,0,89,15,0.533333
