dataset,task,model,preproc,protocol,seed,fold,n_train,n_test,n_fit,n_val,train_acc,val_acc,test_acc,best_epoch,epochs_run,n_params
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,within_s3_h0,144,144,122,22,0.576389,0.636364,0.444444,1,7,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,within_s3_h1,144,144,122,22,0.541667,0.454545,0.513889,2,8,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,within_s4_h0,144,144,122,22,0.625,0.681818,0.520833,2,8,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,within_s4_h1,144,144,122,22,0.548611,0.727273,0.5625,1,7,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,within_s5_h0,144,144,122,22,0.715278,0.681818,0.458333,10,16,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,within_s5_h1,144,144,122,22,0.611111,0.636364,0.527778,3,9,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,within_s6_h0,144,144,122,22,0.611111,0.590909,0.5625,4,10,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,within_s6_h1,144,144,122,22,0.701389,0.681818,0.541667,4,10,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,within_s7_h0,144,144,122,22,0.743056,0.727273,0.527778,11,17,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,within_s7_h1,144,144,122,22,0.673611,0.590909,0.479167,5,11,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,within_s8_h0,144,144,122,22,0.520833,0.545455,0.465278,2,8,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,within_s8_h1,144,144,122,22,0.604167,0.590909,0.381944,2,8,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,within_s9_h0,144,144,122,22,0.722222,0.727273,0.451389,9,15,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,within_s9_h1,144,144,122,22,0.520833,0.409091,0.486111,4,10,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,within_s1_h0,144,144,122,22,0.715278,0.727273,0.541667,15,21,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,within_s1_h1,144,144,122,22,0.631944,0.545455,0.444444,4,10,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,within_s2_h0,144,144,122,22,0.5625,0.681818,0.513889,1,7,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,within_s2_h1,144,144,122,22,0.527778,0.5,0.548611,1,7,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,within_s3_h0,144,144,122,22,0.694444,0.590909,0.5,4,10,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,within_s3_h1,144,144,122,22,0.486111,0.590909,0.576389,1,7,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,within_s4_h0,144,144,122,22,0.5,0.5,0.465278,2,8,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,within_s4_h1,144,144,122,22,0.506944,0.5,0.444444,4,10,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,within_s5_h0,144,144,122,22,0.736111,0.681818,0.555556,10,16,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,within_s5_h1,144,144,122,22,0.736111,0.636364,0.541667,7,13,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,within_s6_h0,144,144,122,22,0.548611,0.681818,0.555556,1,7,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,within_s6_h1,144,144,122,22,0.604167,0.5,0.5625,2,8,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,within_s7_h0,144,144,122,22,0.5625,0.545455,0.583333,1,7,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,within_s7_h1,144,144,122,22,0.673611,0.590909,0.527778,4,10,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,within_s8_h0,144,144,122,22,0.548611,0.636364,0.444444,4,10,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,within_s8_h1,144,144,122,22,0.5625,0.545455,0.479167,5,11,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,within_s9_h0,144,144,122,22,0.722222,0.772727,0.534722,16,22,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,within_s9_h1,144,144,122,22,0.506944,0.681818,0.527778,1,7,2450
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260916,trial0,2160,432,1836,324,0.874074,0.75,0.756944,17,23,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260916,trial1,2160,432,1836,324,0.802778,0.731481,0.703704,6,12,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260916,trial2,2160,432,1836,324,0.839352,0.771605,0.710648,18,24,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260916,trial3,2160,432,1836,324,0.848611,0.746914,0.710648,10,16,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260916,trial4,2160,432,1836,324,0.835185,0.725309,0.712963,12,18,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260916,trial5,2160,432,1836,324,0.810185,0.740741,0.712963,10,16,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260917,trial0,2160,432,1836,324,0.802315,0.728395,0.740741,6,12,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260917,trial1,2160,432,1836,324,0.889815,0.768519,0.789352,21,27,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260917,trial2,2160,432,1836,324,0.878704,0.746914,0.708333,19,25,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260917,trial3,2160,432,1836,324,0.77037,0.691358,0.712963,4,10,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260917,trial4,2160,432,1836,324,0.854167,0.774691,0.715278,12,18,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260917,trial5,2160,432,1836,324,0.802778,0.737654,0.701389,6,12,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260918,trial0,2160,432,1836,324,0.84537,0.768519,0.747685,13,19,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260918,trial1,2160,432,1836,324,0.844444,0.768519,0.766204,12,18,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260918,trial2,2160,432,1836,324,0.793519,0.716049,0.696759,9,15,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260918,trial3,2160,432,1836,324,0.783796,0.719136,0.678241,14,20,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260918,trial4,2160,432,1836,324,0.865741,0.768519,0.717593,17,23,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260918,trial5,2160,432,1836,324,0.799074,0.725309,0.724537,12,18,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260916,trial0,1296,1296,1101,195,0.886574,0.738462,0.69213,18,24,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260916,trial1,1296,1296,1101,195,0.826389,0.702564,0.703704,8,14,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260917,trial0,1296,1296,1101,195,0.820216,0.723077,0.672068,11,17,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260917,trial1,1296,1296,1101,195,0.837963,0.779487,0.704475,7,13,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260918,trial0,1296,1296,1101,195,0.83642,0.697436,0.706019,10,16,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260918,trial1,1296,1296,1101,195,0.888117,0.697436,0.708333,21,27,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260916,run0,2160,432,1836,324,0.856019,0.759259,0.736111,24,30,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260916,run1,2160,432,1836,324,0.834722,0.759259,0.731481,11,17,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260916,run2,2160,432,1836,324,0.84537,0.734568,0.740741,18,24,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260916,run3,2160,432,1836,324,0.799537,0.719136,0.726852,7,13,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260916,run4,2160,432,1836,324,0.844444,0.728395,0.726852,11,17,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260916,run5,2160,432,1836,324,0.812037,0.719136,0.722222,7,13,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260917,run0,2160,432,1836,324,0.781481,0.688272,0.719907,5,11,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260917,run1,2160,432,1836,324,0.796759,0.728395,0.717593,9,15,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260917,run2,2160,432,1836,324,0.855093,0.768519,0.6875,15,21,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260917,run3,2160,432,1836,324,0.888426,0.774691,0.752315,21,27,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260917,run4,2160,432,1836,324,0.828241,0.737654,0.708333,10,16,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260917,run5,2160,432,1836,324,0.802315,0.759259,0.708333,7,13,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260918,run0,2160,432,1836,324,0.777778,0.722222,0.701389,5,11,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260918,run1,2160,432,1836,324,0.834259,0.740741,0.715278,9,15,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260918,run2,2160,432,1836,324,0.812037,0.737654,0.701389,7,13,41202
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,run_disjoint,20260918,run3,2160,432,1836,324,0.847685,0.746914,0.75,15,21,41202
