dataset,task,model,protocol,seed,fold,n_train,n_test,train_acc,test_acc
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s24_h0,30,15,1,0.533333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s24_h0,30,15,1,0.533333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s24_h1,30,15,0.933333,0.466667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s24_h1,30,15,1,0.533333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s24_h2,30,15,1,0.533333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s24_h2,30,15,1,0.466667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s25_h0,30,15,0.933333,0.666667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s25_h0,30,15,1,0.866667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s25_h1,30,15,1,0.466667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s25_h1,30,15,1,0.933333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s25_h2,30,15,1,0.733333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s25_h2,30,15,1,0.666667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s26_h0,30,15,1,0.466667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s26_h0,30,15,1,0.533333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s26_h1,30,15,0.9,0.533333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s26_h1,30,15,1,0.866667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s26_h2,30,15,0.933333,0.733333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s26_h2,30,15,1,0.666667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s27_h0,30,15,0.9,0.266667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s27_h0,30,15,1,0.8
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s27_h1,30,15,0.8,0.666667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s27_h1,30,15,1,0.533333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s27_h2,30,15,0.966667,0.266667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s27_h2,30,15,1,0.666667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s28_h0,30,15,0.966667,0.466667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s28_h0,30,15,1,0.533333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s28_h1,30,15,0.933333,0.466667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s28_h1,30,15,1,0.4
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s28_h2,30,15,1,0.6
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s28_h2,30,15,1,0.466667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s29_h0,30,15,1,1
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s29_h0,30,15,1,0.866667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s29_h1,30,15,1,1
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s29_h1,30,15,1,1
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s29_h2,30,15,1,0.933333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s29_h2,30,15,1,0.8
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s30_h0,30,15,0.633333,0.333333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s30_h0,30,15,1,0.6
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s30_h1,30,15,0.633333,0.466667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s30_h1,30,15,1,0.666667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s30_h2,30,15,0.866667,0.4
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s30_h2,30,15,1,0.533333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s31_h0,30,15,1,0.8
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s31_h0,30,15,1,0.666667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s31_h1,30,15,1,0.8
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s31_h1,30,15,1,0.733333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s31_h2,30,15,1,0.733333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s31_h2,30,15,1,0.933333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s32_h0,30,15,1,0.466667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s32_h0,30,15,1,1
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s32_h1,30,15,0.966667,0.933333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s32_h1,30,15,1,0.8
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s32_h2,30,15,1,0.733333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s32_h2,30,15,1,0.933333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s33_h0,30,15,1,0.466667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s33_h0,30,15,1,0.8
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s33_h1,30,15,0.966667,0.666667
